date,geo,hashtags,id,text,type,username
2019-07-06 06:52:53+00:00,,#centroamericano #nica #flordecanapic,1147397990258110464,"Hey!!! They are now have @flordecana and Gallo Pinto at Isla Nu-Bar & Jurassic World Cafe in @UniStudios! (Plus, you can't feel earthquakes here). #centroamericano #nica #flordecanapic.twitter.com/EMIV6ESxvl",official,eiVega
2019-07-06 06:52:48+00:00,,,1147397970641354752,Wow! We’ve been getting quite a shake here in LA! Several large earthquakes the past couple of days. Brings back memories of the 1974 movie Earthquake. Anyone remember it! The studio tour at Universal is a great… https://www.instagram.com/p/BzkOCprJp2x/?igshid=1u4citiet05iv …,official,LynetteMcNeill
2019-07-06 06:52:35+00:00,,,1147397915687604224,Jerry fucking West just shook the world just now more than the earthquake,official,MADEBYNGO
2019-07-06 06:52:30+00:00,,#EarthquakeLApic,1147397893948502016,Me after surviving 2 earthquakes! #EarthquakeLApic.twitter.com/QXDR0Yr77N,official,ImChrisTyler
2019-07-06 06:52:12+00:00,,,1147397820392960000,That earthquake earlier was from Clippers fans jumping on the bandwagon.,official,KillemAllCoop
2019-07-06 06:51:59+00:00,,#scary #7,1147397764201865216,Not a fan of earthquakes #scary #7.1pic.twitter.com/lNv5jtEtMa,official,KathyHarren
2019-07-06 06:51:41+00:00,,,1147397690256265217,So apparently SoCal has had a couple earthquakes and I didn't feel a single one. I'm kinda bummed about it.,official,Lissa_LovesYou
2019-07-06 06:51:40+00:00,,,1147397685814579201,still mad af the earthquake happened when i was watching spiderman,official,sxrgiio7
2019-07-06 06:51:40+00:00,,#LAEarthquake,1147397685374144512,What I was taught as a kid to do in the event of an earthquake: duck under a desk. What I did yesterday and today: laid on my bed and watched my room shake. #LAEarthquake,official,KevBluntPDS
2019-07-06 06:51:40+00:00,,,1147397684916973569,"i was talking about the earthquake, whats with the mr crabs",official,rosaxmolina
2019-07-06 06:51:03+00:00,,,1147397531053068290,anyone else feel that very small earthquake that lasted like 4 seconds a little bit after the big one hit today,official,twister_blister
2019-07-06 06:50:53+00:00,,,1147397489684697088,"Honestly, earthquakes were the one big thing I worried about with California but I didn't even feel the one today and overall I'm pretty calm. I think it does legitimize my choice to stay in South Bay area instead of cheaper areas further in. https://twitter.com/earthquakeBot/status/1147345430369300481 …",official,KLStorey
2019-07-06 06:50:48+00:00,,,1147397467874328576,That earthquake had me shook I thought my ass was dizzy but everyone ran out the theatre,official,saulslays
2019-07-06 06:50:46+00:00,,#EarthquakeResponse #Earthquake,1147397458277748737,2nd earthquake in 2 days... I need a taco. #EarthquakeResponse #Earthquake,official,beektor_
2019-07-06 06:50:43+00:00,,,1147397446370074624,"Thank you @DrLucyJones for working around the clock, giving interviews to many different news outlets, to help keep us informed on these earthquakes. You’re expertise gives many of us peace of mind. https://twitter.com/DrLucyJones/status/1147357622124683264 …pic.twitter.com/NVvwgpEIz6",official,abc7leslielopez
2019-07-06 06:50:31+00:00,,,1147397395442831362,There’s earthquakes and shit out here,official,_TheFran_
2019-07-06 06:50:04+00:00,,,1147397281588494336,Everybody filming they pools cause of the earthquake but I’m plotting on whose backyard I’m need to subscribe to for the rest of the summer,official,pierre_lestone
2019-07-06 06:49:58+00:00,,,1147397256972079104,"Tip for earthquakes- if you are head banging, you have no idea there is an earthquake happening",official,hellaborella
2019-07-06 06:49:29+00:00,,,1147397136411062272,2nd earthquake in Cali? Didn’t feel this one,official,purple_dolan99
